timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1778592445865,19,Sign Out-0,302,Found,Thread Group 1-14,,true,,330,646,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,19,0,0
1778592445884,6,Sign Out-1,200,OK,Thread Group 1-14,text,true,,4919,637,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,6,0,0
1778592445863,28,Sign Out,200,OK,Thread Group 1-4,text,true,,5249,1283,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,17,0,0
1778592445863,17,Sign Out-0,302,Found,Thread Group 1-4,,true,,330,646,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,17,0,0
1778592445880,11,Sign Out-1,200,OK,Thread Group 1-4,text,true,,4919,637,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,11,0,0
1778592445851,40,Login,200,OK,Thread Group 1-22,text,true,,5262,1713,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,28,0,0
1778592445851,28,Login-0,302,Found,Thread Group 1-22,,true,,193,984,25,25,http://localhost:8080/jpetstore/actions/Account.action,28,0,0
1778592445879,12,Login-1,200,OK,Thread Group 1-22,text,true,,5069,729,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,12,0,0
1778592445878,14,Sign In,200,OK,Thread Group 1-12,text,true,,3925,649,25,25,http://localhost:8080/jpetstore/actions/Account.action?signonForm=,14,0,0
1778592445868,25,Login,200,OK,Thread Group 1-16,text,true,,5262,1713,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,19,0,0
1778592445868,19,Login-0,302,Found,Thread Group 1-16,,true,,193,984,25,25,http://localhost:8080/jpetstore/actions/Account.action,19,0,0
1778592445887,6,Login-1,200,OK,Thread Group 1-16,text,true,,5069,729,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,6,0,0
1778592445887,7,Main Catalog,200,OK,Thread Group 1-7,text,true,,4832,615,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,7,0,0
1778592445882,13,Reptiles,200,OK,Thread Group 1-5,text,true,,3712,249,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES,13,0,0
1778592445877,18,Main Catalog,200,OK,Thread Group 1-19,text,true,,4832,615,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,18,0,0
1778592445882,14,Home,200,OK,Thread Group 1-25,text,true,,1351,193,25,25,http://localhost:8080/jpetstore/,14,0,0
1778592445892,5,Dogs,200,OK,Thread Group 1-22,text,true,,4296,245,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=DOGS,5,0,0
1778592445870,28,Main Catalog,200,OK,Thread Group 1-17,text,true,,4832,615,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,28,0,0
1778592445867,34,Login,200,OK,Thread Group 1-23,text,true,,5262,1713,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,19,0,0
1778592445867,19,Login-0,302,Found,Thread Group 1-23,,true,,193,984,25,25,http://localhost:8080/jpetstore/actions/Account.action,19,0,0
1778592445886,15,Login-1,200,OK,Thread Group 1-23,text,true,,5069,729,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,15,0,0
1778592445849,53,Sign Out,200,OK,Thread Group 1-10,text,true,,5249,1283,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,29,0,0
1778592445849,29,Sign Out-0,302,Found,Thread Group 1-10,,true,,330,646,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,29,0,0
1778592445878,24,Sign Out-1,200,OK,Thread Group 1-10,text,true,,4919,637,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,24,0,0
1778592445863,42,Login,200,OK,Thread Group 1-9,text,true,,5262,1713,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,33,0,0
1778592445863,33,Login-0,302,Found,Thread Group 1-9,,true,,193,984,25,25,http://localhost:8080/jpetstore/actions/Account.action,33,0,0
